customer_id	tot_travel_sales	tot_sales	travel_sales_percentage
4573	39	39	100,000000
4574	8	8	100,000000
4575	19	19	100,000000
4576	31	40	77,500000
4578	9	9	100,000000
4579	0	204	,000000
4580	34	34	100,000000
4582	32	32	100,000000
4583	26	26	100,000000
4584	38	38	100,000000
4585	11	11	100,000000
4586	29	29	100,000000
4587	1	1	100,000000
4588	9	9	100,000000
4589	59	59	100,000000
4591	9	9	100,000000
4592	0	102	,000000
4593	4	4	100,000000
4594	0	16	,000000
4595	39	39	100,000000
4596	17	17	100,000000
4597	94	94	100,000000
4598	29	29	100,000000
4599	4	21	19,047619
4600	12	12	100,000000
4601	5	5	100,000000
4603	26	26	100,000000
4604	6	6	100,000000
4605	0	14	,000000
4606	73	73	100,000000
4607	31	31	100,000000
4608	30	30	100,000000
4609	0	113	,000000
4610	0	98	,000000
4611	15	15	100,000000
4614	42	42	100,000000
4615	0	69	,000000
4616	17	17	100,000000
4617	5	5	100,000000
4618	0	103	,000000
4619	0	25	,000000
4620	0	226	,000000
4621	20	20	100,000000
4622	0	12	,000000
4623	36	36	100,000000
4624	2	2	100,000000
4625	15	15	100,000000
4626	25	25	100,000000
4627	26	26	100,000000
4628	26	26	100,000000
4629	30	30	100,000000
4630	31	31	100,000000
4631	25	25	100,000000
4632	19	19	100,000000
4633	21	35	60,000000
4634	0	7	,000000
4635	15	15	100,000000
4637	14	14	100,000000
4638	8	8	100,000000
4640	4	4	100,000000
4641	8	8	100,000000
4642	29	29	100,000000
4643	0	45	,000000
4644	0	28	,000000
4645	9	9	100,000000
4646	0	6	,000000
4647	0	148	,000000
4648	1	1	100,000000
4649	70	70	100,000000
4650	11	11	100,000000
4651	0	30	,000000
4652	12	12	100,000000
4653	38	38	100,000000
4654	10	10	100,000000
4655	0	153	,000000
4656	7	7	100,000000
4657	77	77	100,000000
4658	74	74	100,000000
4659	55	55	100,000000
4660	4	4	100,000000
4661	24	24	100,000000
4662	6	6	100,000000
4663	14	14	100,000000
4664	54	54	100,000000
4665	12	12	100,000000
4666	56	56	100,000000
4667	16	16	100,000000
4668	3	3	100,000000
4669	6	6	100,000000
4670	0	98	,000000
4671	18	18	100,000000
4672	8	8	100,000000
4674	25	25	100,000000
4676	0	301	,000000
4677	25	25	100,000000
4678	57	57	100,000000
4679	17	17	100,000000
4680	18	18	100,000000
4681	3	3	100,000000
4682	38	38	100,000000
4686	24	24	100,000000
4687	12	12	100,000000
4688	5	12	41,666667
4689	6	6	100,000000
4690	66	66	100,000000
4691	95	95	100,000000
4692	10	10	100,000000
4693	124	124	100,000000
4694	16	23	69,565217
4695	0	59	,000000
4696	8	8	100,000000
4697	8	8	100,000000
4698	0	36	,000000
4699	13	13	100,000000
4700	71	71	100,000000
4702	6	6	100,000000
4703	22	22	100,000000
4704	19	19	100,000000
4705	8	8	100,000000
4707	39	39	100,000000
4709	0	30	,000000
4711	0	75	,000000
4712	12	12	100,000000
4713	13	13	100,000000
4714	9	9	100,000000
4715	3	3	100,000000
4716	2	2	100,000000
4717	5	5	100,000000
4718	41	41	100,000000
4719	0	70	,000000
4720	28	28	100,000000
4721	3	3	100,000000
4722	25	25	100,000000
4724	12	12	100,000000
4725	9	9	100,000000
4726	46	46	100,000000
4727	0	297	,000000
4728	18	18	100,000000
4729	5	5	100,000000
4730	0	5	,000000
4731	0	184	,000000
4732	0	163	,000000
4734	19	19	100,000000
4736	47	47	100,000000
4737	26	26	100,000000
4738	8	8	100,000000
4739	36	36	100,000000
4741	5	5	100,000000
4742	0	130	,000000
4743	18	18	100,000000
4744	26	26	100,000000
4745	20	20	100,000000
4747	33	33	100,000000
4748	46	52	88,461538
4749	4	4	100,000000
4750	50	50	100,000000
4752	10	10	100,000000
4753	6	25	24,000000
4754	10	10	100,000000
4755	13	13	100,000000
4756	8	8	100,000000
4758	4	4	100,000000
4760	1	1	100,000000
4761	0	140	,000000
4762	15	15	100,000000
4763	17	17	100,000000
4764	12	12	100,000000
4766	7	25	28,000000
4767	0	221	,000000
4768	13	13	100,000000
4770	4	4	100,000000
4771	0	201	,000000
4772	21	21	100,000000
4774	26	26	100,000000
4775	83	83	100,000000
4776	25	25	100,000000
4778	0	60	,000000
4779	0	28	,000000
4780	0	183	,000000
4782	17	17	100,000000
4783	38	38	100,000000
4784	34	34	100,000000
4785	35	35	100,000000
4786	1	1	100,000000
4787	0	23	,000000
